epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,9463.17,0.40068,0.32107,0.89341,0.88495,0.73388,0.77787,0.68627,0.72064,0.71981,0.72263,0.000466997,0.000466997,0.000466997
70,9597.38,0.3774,0.30883,0.89551,0.92892,0.73052,0.77779,0.69016,0.71262,0.86145,0.72621,0.00045285,0.00045285,0.00045285
71,9734.87,0.39955,0.32439,0.90169,0.92119,0.74294,0.80551,0.71366,0.73093,0.74289,0.74339,0.000438703,0.000438703,0.000438703
72,9871.07,0.37844,0.30161,0.89263,0.90831,0.73648,0.8117,0.70096,0.73308,0.74115,0.74648,0.000424556,0.000424556,0.000424556
73,10004.3,0.35373,0.29279,0.88512,0.91655,0.72493,0.78292,0.68785,0.7262,0.85051,0.72899,0.000410409,0.000410409,0.000410409
74,10142.6,0.39634,0.32367,0.88994,0.87842,0.77623,0.81179,0.69901,0.70778,0.65773,0.71489,0.000396262,0.000396262,0.000396262
75,10280.2,0.38014,0.302,0.89243,0.86978,0.74916,0.78179,0.69502,0.70342,0.85099,0.71108,0.000382115,0.000382115,0.000382115
76,10419.7,0.37987,0.3012,0.89065,0.81355,0.76445,0.78662,0.6884,0.69156,0.73231,0.71253,0.000367967,0.000367967,0.000367967
77,10556.4,0.37253,0.29931,0.89207,0.86348,0.75759,0.79756,0.68223,0.70309,0.68733,0.70978,0.00035382,0.00035382,0.00035382
78,10694.6,0.36508,0.29565,0.88816,0.92016,0.72424,0.77925,0.69651,0.67058,0.83509,0.70661,0.000339673,0.000339673,0.000339673
79,10835.2,0.3643,0.29765,0.89406,0.8586,0.77803,0.81937,0.70835,0.69642,0.60178,0.69677,0.000325526,0.000325526,0.000325526
80,10973,0.36823,0.29559,0.87789,0.89686,0.74012,0.78647,0.68914,0.6798,0.77418,0.69282,0.000311379,0.000311379,0.000311379
81,11111.2,0.35691,0.2935,0.88181,0.92476,0.73323,0.78825,0.70122,0.68929,0.78419,0.70715,0.000297232,0.000297232,0.000297232
